Title,Ingredients,Instructions,Yield,Time,Notes,Author,Source URL
Tiger Salad,"1. 1 tablespoon unseasoned rice vinegar
2. 2 teaspoons toasted sesame oil
3. 1 teaspoon toasted sesame seeds
4. 1/4 teaspoon crushed red pepper flakes
5. 1 bunch cilantro leaves with tender stems, cut into 2 inches pieces
6. 4 celery stalks, thinly sliced on a diagonal
7. 2 small cucumbers or 1/2 large, thinly sliced
8. 6 scallions, thinly sliced on a diagonal
9. Kosher salt, freshly ground pepper","1. Whisk vinegar, oil, sesame seeds, and red pepper flakes in a large bowl. Add cilantro, celery, cucumbers, and scallions. Season with salt and pepper and toss to combine.
2. Salad can be made 6 hours ahead. Cover and chill.",6 Servings,,This cooling and refreshing salad—with cilantro standing in for the lettuce—is great alongside spicy foods.,Alison Roman,https://www.bonappetit.com/recipe/tiger-salad
Pork Meatball Banh Mi,"1. 2/3 cup mayonnaise
2. 2 green onions, finely chopped
3. 1 tablespoon hot chili sauce (such as sriracha)
4. 1 pound ground pork
5. 1/4 cup finely chopped fresh basil
6. 4 garlic cloves, minced
7. 3 green onions, finely chopped
8. 1 tablespoon fish sauce (such as nam pla or nuoc nam)
9. 1 tablespoon hot chili sauce (such as sriracha)
10. 1 tablespoon sugar
11. 2 teaspoons cornstarch
12. 1 teaspoon freshly ground black pepper
13. 1 teaspoon coarse kosher salt
14. 2 cups coarsely grated carrots
15. 2 cups coarsely grated peeled daikon (Japanese white radish)
16. 1/4 cup unseasoned rice vinegar
17. 1/4 cup sugar
18. 1 teaspoon coarse kosher salt
19. 1 tablespoon Asian sesame oil
20. 4 10-inch-long individual baguettes or four 10-inch-long pieces French-bread baguette (cut from 2 baguettes)
21. Thinly sliced jalapeño chiles
22. 16 large fresh cilantro sprigs","1. Stir all ingredients for hot chili mayo in a small bowl. Season with salt. Cover and chill if making ahead.
2. Line a large dinner plate or pie dish with plastic wrap. Gently mix all meatball ingredients in a large bowl. Using moistened hands, roll meat mixture into 1-inch meatballs. Arrange on plate. Cover and chill if making ahead.
3. Toss the first 5 sandwich ingredients in a medium bowl. Let stand at room temperature for 1 hour, tossing occasionally.
4. Preheat oven to 300°F. Heat sesame oil in a large skillet over medium-high heat. Add half of the meatballs. Sauté until brown and cooked through, turning meatballs often and lowering heat if browning too quickly, about 15 minutes. Transfer meatballs to a rimmed baking sheet. Place in oven to keep warm. Repeat with remaining meatballs.
5. Cut each baguette or baguette piece horizontally in half. Scoop out the inside of each piece of bread. Spread hot chili mayo on both sides of bread. Arrange jalapeños, then cilantro, on bottom halves. Top with 1/4 of meatballs. Drain pickled vegetables; place atop meatballs. Put top halves on each sandwich.",makes 4 sandwiches,Cook: 15 minutes,Can be made 1 day ahead.,Jeanne Thiel Kelley,https://www.bonappetit.com/recipe/pork-meatball-banh-mi
Stuffed Eggplant Galatoire’s Restaurant,"1. 1 lb. eggplant
2. 1/4 cup minced onion
3. 1 tablespoon chopped parsley
4. 1/4 cup butter
5. Salt and pepper to taste
6. 1/2 cup chopped cooked crabmeat
7. 1/2 cup chopped cooked shrimps
8. 1/2 cup bechamel sauce
9. 2 tablespoons freshly grated Parmesan cheese
10. 2 tablespoons bread crumbs
11. 1 tablespoon melted butter","1. Halve lengthwise a 1-lb. eggplant and put halves, cut side down, into baking pan just large enough to hold them.
2. Cover pan with foil.
3. Bake eggplant in 375F for 50 min., or until it is tender.
4. Scoop out pulp, leaving shells intact, reserve shells. Chop pulp.
5. In skillet, saute 1/4 c. minced onion and 1 tbs. chopped parsley in 1/4 c. butter until onion is browned.
6. Stir in chopped eggplant, add salt and pepper to taste, and cook mixture, covered, over moderate heat for 5 min., or until eggplant is very soft.
7. Add 1/2 c. each chopped cooked crabmeat, chopped cooked shrimps, and bechamel sauce.
8. Put reserved shells in baking dish just large enough to hold them.
9. Divide stuffing between shells and sprinkle each shell with 2 tbs. each freshly grated Parmesan cheese and bread crumbs and 1 tbs. melted butter.
10. Bake at 425F for 10 min., or until topping is golden.",,Cook: 60 min,The recipe suggests adding additional seasoning like garlic or something spicy for enhanced flavor.,Nancy Brown,https://njbrown.wordpress.com/2009/11/27/galatoires-stuffed-eggplant/
Chile-Braised Pork Shoulder Tacos,"1. 4 large dried ancho chiles (about 3/4 oz.), stemmed, seeded
2. 2 large dried chiles de árbol or japones chiles, stemmed, seeded
3. 2 Tbsp. sugar
4. 1 Tbsp. fresh lime juice
5. 1 5-lb. boneless pork shoulder (Boston butt)
6. Kosher salt
7. 2 Tbsp. vegetable oil
8. 1 large onion, chopped (about 2 cups)
9. 3 large garlic cloves, coarsely chopped
10. 2 bay leaves
11. 2 tsp. dried oregano, preferably Mexican
12. 2 tsp. ground coriander
13. 2 tsp. ground cumin
14. 1/2 tsp. ground allspice
15. 1 12-oz. bottle Negro Modelo or other dark beer
16. 24 (or more) 6' corn tortillas
17. 4 radishes, trimmed, thinly sliced
18. Tomato-Serrano Salsa
19. Tomatillo-Chipotle Salsa
20. Pickled Onions
21. Chopped fresh cilantro","1. Place chiles in a medium bowl. Add enough boiling water to cover, and set a small plate or bowl on chiles to keep submerged. Let soak until softened, about 30 minutes. Drain chiles, reserving 1 cup soaking liquid.
2. Preheat oven to 350°. Place chiles, sugar, lime juice, and ¼ cup reserved soaking liquid in a blender. Purée chile mixture, adding more soaking liquid as needed to form a smooth paste. Season pork shoulder generously with salt and spread paste over pork. DO AHEAD Can be rubbed 1-2 days ahead. Cover and chill. Let come to room temperature before continuing.
3. Heat oil in a large heavy pot over medium heat. Add onion, garlic, bay leaves, oregano, coriander, cumin, and allspice. Cook, stirring often, until onion is soft, about 8 minutes. Add beer; bring to a boil. Add pork to pot; cover and transfer to oven.
4. Braise pork, basting occasionally with pan juices, until very tender, about 2 ½ hours. DO AHEAD Can be made 2 days ahead. Let cool slightly. Chill uncovered until cold, then cover and keep chilled. Rewarm before continuing.
5. Transfer pork to a large platter. Let cool slightly. Pour pan juice mixture over pork; cover and keep warm. (Alternatively, shred the pork with 2 forks and pour pan juice mixture over pork.)
6. Meanwhile, working in batches, cook tortillas in a large heavy skillet over low heat until toasted, about 1 minute per side. Transfer to a large sheet of foil; wrap to keep warm.
7. Serve pork with tortillas, radishes, both salsas, pickled onions, and chopped cilantro, encouraging guests to fill and garnish tacos as desired.",8 Servings,"Prep: 30 minutes
Cook: 2 ½ hours
Total: 3 hours",Serve this succulent spiced pork shoulder recipe at the table with a pair of tongs or shred it in the kitchen and place on a platter.,Bon Appétit Test Kitchen,https://www.bonappetit.com/recipe/chile-braised-pork-shoulder-tacos
Slow-Roasted Green Beans With Sage,"1. 2 1/2 pounds tender green beans, trimmed
2. 3 bunches scallions, trimmed with 1-inch green tops still attached, halved lengthwise
3. 6 large garlic cloves, each cut lengthwise into 4 slices
4. 1/2 cup olive oil
5. 2 tablespoons fresh sage leaves
6. 1 tablespoon fresh rosemary leaves
7. 1 tablespoon fresh thyme leaves
8. 2 teaspoons kosher salt
9. Freshly ground black pepper","1. Preheat oven to 375°.
2. Combine first 8 ingredients in a large bowl and season with pepper. Toss to evenly incorporate.
3. Transfer beans to a large rimmed baking sheet.
4. Roast beans, stirring every 10 minutes, until wilted, shrunken, and browned at edges, about 1 hour. (You may need to stir more often toward end for even browning.)",8 to 10 Servings,Cook: 1 hour,,Suzanne Goin,http://www.bonappetit.com/recipe/slow-roasted-green-beans-with-sage
,,,,,,,https://www.halfbakedharvest.com/homemade-naan-step-step-photos/
Chicken Khao Soi,"1. 4 large dried New Mexico or guajillo chiles, stemmed, halved, seeded
2. 2 medium shallots, halved
3. 8 garlic cloves
4. 1 2"" piece ginger, peeled, sliced
5. ¼ cup chopped cilantro stems
6. 1 tablespoon ground coriander
7. 1 tablespoon ground turmeric
8. 1 teaspoon curry powder
9. 2 tablespoons vegetable oil
10. 2 14-oz. cans unsweetened coconut milk
11. 2 cups low-sodium chicken broth
12. 1½ lb skinless, boneless chicken thighs, halved lengthwise
13. 1 lb Chinese egg noodles
14. 3 tablespoons (or more) fish sauce (such as nam pla or nuoc nam)
15. 1 tablespoon (packed) palm sugar or light brown sugar
16. Kosher salt
17. Sliced red onion, bean sprouts, cilantro sprigs, crispy fried onions or shallots, chili oil, and lime wedges (for serving)","1. Place chiles in a small heatproof bowl, add boiling water to cover, and let soak until softened, 25–30 minutes.
2. Drain chiles, reserving soaking liquid. Purée chiles, shallots, garlic, ginger, cilantro stems, coriander, turmeric, curry powder, and 2 Tbsp. soaking liquid in a food processor, adding more soaking liquid by tablespoonfuls, if needed, until smooth.
3. Heat oil in a large heavy pot over medium heat. Add khao soi paste; cook, stirring constantly, until slightly darkened, 4–6 minutes. Add coconut milk and broth. Bring to a boil; add chicken. Reduce heat and simmer until chicken is fork-tender, 20–25 minutes. Transfer chicken to a plate. Let cool slightly; shred meat.
4. Meanwhile, cook noodles according to package directions.
5. Add chicken, 3 Tbsp. fish sauce, and sugar to soup. Season with salt or more fish sauce, if needed. Divide soup and noodles among bowls and serve with toppings.",6 to 8 Servings,Cook: 45 minutes,Dried chiles are available at Latin markets; Chinese egg noodles and chili oil are available at Asian markets. All can be found at many supermarkets.,"Ravin Nakjaroen of Long Grain in Camden, ME",https://www.bonappetit.com/recipe/chicken-khao-soi
Slow Cooker Boeuf Bourguignon,,,,,"Access to the webpage was denied, so the recipe details could not be extracted.",,http://www.thekitchn.com/recipe-slow-cooker-boeuf-bourguignon-recipes-from-the-kitchn-196361
,,,,,,,https://www.halfbakedharvest.com/roasted-garlic-spaghetti-squash-lasagna-boats/
Chunky Tomato Soup,"1. 2 tablespoons olive oil
2. 1 large onion, chopped
3. 2 garlic cloves, minced
4. 1 tablespoon tomato paste
5. 1/4 teaspoon crushed red pepper
6. 2 pounds tomatoes, chopped
7. 4 cups vegetable broth
8. Salt and freshly ground pepper
9. 1/4 cup chopped fresh basil","1. 1. In a large pot, heat the olive oil over medium heat.
2. 2. Add the onion and cook until softened, about 5 minutes.
3. 3. Stir in the garlic, tomato paste, and crushed red pepper; cook for 1 minute.
4. 4. Add the tomatoes and cook until they begin to break down, about 5 minutes.
5. 5. Stir in the vegetable broth and bring to a boil.
6. 6. Reduce the heat to low and simmer for 30 minutes.
7. 7. Puree half of the soup in a blender until smooth.
8. 8. Return the pureed soup to the pot and stir to combine.
9. 9. Season with salt and pepper to taste.
10. 10. Stir in the basil just before serving.",4 servings,"Prep: 10 minutes
Cook: 40 minutes
Total: 50 minutes","For a creamier soup, you can add a splash of cream or a dollop of yogurt before serving.",Steven Satterfield,http://www.foodandwine.com/recipes/chunky-tomato-soup
Hakka Salt-Baked Chicken,"1. 1 (3 1/2- to 4-pound) chicken, preferably free-range, rinsed and patted dry
2. 1 1/2 tablespoons Chinese rice wine or dry sherry
3. 5 quarter-size slices fresh ginger, lightly smashed
4. 2 scallions, lightly smashed and cut into 1 1/2-inch lengths
5. 5 cilantro sprigs, plus additional cilantro leaves for garnish
6. 1 star anise pod
7. 1 tablespoon Rose Dew Liqueur or extra-dry vermouth
8. 4 1/2 pounds kosher salt
9. 1 tablespoon Chinese chile sauce (such as Tso Hin Kee Chinese Chili Sauce)
10. 1 tablespoon hot water
11. 1 teaspoon rice vinegar
12. 1/2 teaspoon granulated sugar
13. 1 tablespoon finely chopped peeled fresh ginger
14. 2 tablespoons corn or peanut oil
15. 1/4 teaspoon kosher salt","1. Rub the cavity of the chicken with the rice wine and stuff with the ginger, scallions, cilantro sprigs, and star anise. Place the chicken, breast up, on a rack and brush the outside with the liqueur. Let the chicken stand in a cool, airy place until the skin is dry to the touch, about 2 hours.
2. Truss the chicken with string. Wrap the chicken in a single layer of cheesecloth; bring the ends around and tie them together on top of the chicken breast with string. The chicken should be tightly wrapped in a neat ball.
3. Pour the salt into a large heavy stockpot or spun-steel wok that will hold the chicken snugly. Turn the heat to moderately high and stir the salt frequently until it is very hot to the touch, about 10 minutes. Carefully pour all but 1 inch of the salt (about 6 cups) into a heatproof bowl. Set the chicken in the pot, breast up, and cover completely with the reserved hot salt. Cover the pot, reduce the heat to moderate, and cook the chicken undisturbed on top of the stove for 1 1/2 hours. Check for doneness by brushing off the salt and piercing a thigh with a sharp knife. If the juices are still pink, re-cover with salt and continue to cook for another 15 to 30 minutes.
4. Push the salt aside and carefully remove the chicken, holding it by the knotted cheesecloth; try not to tilt the chicken and spill the juices. Set the chicken on a large platter and remove the cheesecloth and trussing strings. Discard the salt. Carve the chicken or use a cleaver to chop it Chinese-style into bite-size pieces. Serve hot or at room temperature, garnished with cilantro leaves and accompanied by the Hakka dipping sauces.
5. For the chile sauce, whisk together all ingredients in a small bowl until sugar dissolves. Let stand at least 15 minutes; stir before serving.
6. For the ginger sauce, place ginger in a small, heavy serving saucer. Heat oil in a small saucepan over medium-high until it sends up a wisp of smoke, then pour over ginger. Stir to combine. Sprinkle with salt, and stir to combine. Serve warm or at room temperature.",4 servings,"Prep: 2 hrs (stand time)
Cook: 1 hr 45 mins
Total: 4 hrs 15 mins",The Chinese chile sauce called for in the Hakka chile sauce recipe is a fruity-hot blend of chiles and spices. Do not confuse chile sauce with hot bean paste or a product labeled 'chili paste with garlic.',Barbara Tropp,https://www.foodandwine.com/recipes/hakka-salt-baked-chicken
